name,type,value,date
100,高考作弊记,1440070,2019/1/1
100,高考作弊记,1440070,2019/1/2
100,高考作弊记,1440070,2019/1/3
100,高考作弊记,1440070,2019/1/4
100,高考作弊记,1440070,2019/1/5
100,高考作弊记,1440070,2019/1/6
99,每天一遍，北大相见,984960,2019/1/2
99,每天一遍，北大相见,984960,2019/1/3
99,每天一遍，北大相见,984960,2019/1/4
99,每天一遍，北大相见,984960,2019/1/5
99,每天一遍，北大相见,984960,2019/1/6
99,每天一遍，北大相见,984960,2019/1/7
98,妈妈问我为什么要跪着看手机！,520270,2019/1/3
98,妈妈问我为什么要跪着看手机！,520270,2019/1/4
98,妈妈问我为什么要跪着看手机！,520270,2019/1/5
98,妈妈问我为什么要跪着看手机！,520270,2019/1/6
98,妈妈问我为什么要跪着看手机！,520270,2019/1/7
98,妈妈问我为什么要跪着看手机！,520270,2019/1/8
97,【木鱼微剧场】真实事件改编的国产悬疑犯罪佳作，很多人都没真正看懂，你看懂了吗？《追凶者也》,5413210,2019/1/4
97,【木鱼微剧场】真实事件改编的国产悬疑犯罪佳作，很多人都没真正看懂，你看懂了吗？《追凶者也》,5413210,2019/1/5
97,【木鱼微剧场】真实事件改编的国产悬疑犯罪佳作，很多人都没真正看懂，你看懂了吗？《追凶者也》,5413210,2019/1/6
97,【木鱼微剧场】真实事件改编的国产悬疑犯罪佳作，很多人都没真正看懂，你看懂了吗？《追凶者也》,5413210,2019/1/7
97,【木鱼微剧场】真实事件改编的国产悬疑犯罪佳作，很多人都没真正看懂，你看懂了吗？《追凶者也》,5413210,2019/1/8
97,【木鱼微剧场】真实事件改编的国产悬疑犯罪佳作，很多人都没真正看懂，你看懂了吗？《追凶者也》,5413210,2019/1/9
96,一句话惹毛一种职业。,2744750,2019/1/5
96,一句话惹毛一种职业。,2744750,2019/1/6
96,一句话惹毛一种职业。,2744750,2019/1/7
96,一句话惹毛一种职业。,2744750,2019/1/8
96,一句话惹毛一种职业。,2744750,2019/1/9
96,一句话惹毛一种职业。,2744750,2019/1/10
95,【花园粑粑】你瞅啥？来互相伤害啊！,108019000,2019/1/6
95,【花园粑粑】你瞅啥？来互相伤害啊！,108019000,2019/1/7
95,【花园粑粑】你瞅啥？来互相伤害啊！,108019000,2019/1/8
95,【花园粑粑】你瞅啥？来互相伤害啊！,108019000,2019/1/9
95,【花园粑粑】你瞅啥？来互相伤害啊！,108019000,2019/1/10
95,【花园粑粑】你瞅啥？来互相伤害啊！,108019000,2019/1/11
94,【新海诚式想见你】未来过去，我只想见你,6806990,2019/1/7
94,【新海诚式想见你】未来过去，我只想见你,6806990,2019/1/8
94,【新海诚式想见你】未来过去，我只想见你,6806990,2019/1/9
